timestamp,slotA
379819,145431.0
379830,145087.0
379841,144995.0
379852,145190.0
379864,145186.0
379875,145123.0
379886,144977.0
379897,144366.0
379908,145148.0
379919,145130.0
379931,144953.0
379942,144933.0
379953,144941.0
379964,144854.0
379975,144897.0
379986,144862.0
379997,144694.0
380009,144759.0
380020,144538.0
380031,144123.0
380042,144441.0
380053,144145.0
380064,144204.0
380076,144170.0
380087,144048.0
380098,143896.0
380109,144023.0
380120,143945.0
380131,144060.0
380143,143825.0
380154,143751.0
380165,143641.0
380176,143846.0
380187,143536.0
380198,143543.0
380210,143582.0
380221,143384.0
380232,143145.0
380243,143371.0
380254,143530.0
380265,144143.0
380276,144310.0
380288,144426.0
380299,144937.0
380310,145039.0
380321,145421.0
380332,145627.0
380343,145669.0
380354,145721.0
380366,145689.0
380377,145776.0
380388,145700.0
380399,145675.0
380410,145543.0
380421,145516.0
380432,145468.0
380444,145388.0
380455,145229.0
380466,145251.0
380477,145126.0
380488,144934.0
380499,144877.0
380511,144684.0
380522,144881.0
380533,144636.0
380544,144504.0
380555,144613.0
380567,144542.0
380578,144482.0
380589,144551.0
380600,144330.0
380611,144730.0
380622,144407.0
380633,144402.0
380645,144481.0
380656,144239.0
380667,144289.0
380678,144423.0
380689,144221.0
380700,144208.0
380711,144316.0
380723,144047.0
380734,144140.0
380745,143868.0
380756,143766.0
380767,143733.0
380778,143944.0
380789,143759.0
380801,143606.0
380812,143652.0
380823,143614.0
380834,143451.0
380845,143493.0
380856,143367.0
380868,143304.0
380879,143226.0
380890,143361.0
380901,143216.0
380912,143134.0
380923,143130.0
380940,143052.0
380946,142785.0
380957,142904.0
380968,142847.0
380979,142868.0
380990,142965.0
381002,143208.0
381013,143585.0
381024,143886.0
381040,144208.0
381046,144411.0
381057,144824.0
381068,144872.0
381080,144994.0
381091,145112.0
381102,145132.0
381113,145194.0
381124,145190.0
381139,145379.0
381146,144945.0
381158,145081.0
381169,145053.0
381180,145789.0
381191,144744.0
381202,144697.0
381213,144575.0
381224,144570.0
381240,144309.0
381247,144308.0
381258,144161.0
381269,144207.0
381280,143888.0
381291,144111.0
381303,144014.0
381314,144009.0
381325,144034.0
381340,144044.0
381347,143920.0
381358,144150.0
381370,144124.0
381381,143971.0
381392,144107.0
381403,144091.0
381414,144047.0
381425,143984.0
381440,144027.0
381448,144134.0
381459,143984.0
381470,143878.0
381481,143938.0
381492,143756.0
381503,143699.0
381515,143781.0
381526,143475.0
381540,143536.0
381548,143429.0
381559,143545.0
381570,143499.0
381581,143349.0
381593,143322.0
381604,143134.0
381615,143066.0
381626,143294.0
381639,143041.0
381648,143169.0
381659,142951.0
381671,142924.0
381682,142822.0
381693,143033.0
381704,142976.0
381715,143438.0
381726,143696.0
381740,143929.0
381749,144162.0
381760,144707.0
381771,144562.0
381782,144887.0
381793,144995.0
381805,144956.0
381816,144978.0
381827,145019.0
381839,145171.0
381849,145080.0
381860,144940.0
381872,144832.0
381883,144805.0
381894,144658.0
381905,144869.0
381916,144417.0
381927,144628.0
